KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
1,20,0.0,0,0.0,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true
2,20,0.0,0,0.0,false,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true
3,20,0.0,0,5.6395217685540266E-5,false,false,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
4,20,0.0,0,0.0,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true
5,20,0.0,0,0.0,false,true,true,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true
6,20,0.0,0,8.047642040882022E-4,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true
7,20,0.0,0,9.704858137808986E-4,true,false,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true
8,20,0.0,0,0.0012470123662059649,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,true,false
9,20,0.0,0,0.0,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false
10,20,0.0,0,2.0969855832241152E-4,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false
11,20,0.0,0,1.095290251916758E-4,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false
12,20,0.0,0,4.544421722335833E-4,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true
13,20,0.0,0,0.0010525788181043557,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,true,true,false,true,true
14,20,0.0,0,0.0010092272202998846,true,true,true,true,true,false,true,false,false,true,true,true,true,true,false,true,true,true,false,true
15,20,0.0,0,0.0,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true,false
16,20,0.0,0,0.0,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true
17,20,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false
18,20,0.0,0,3.7705359547535687E-4,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,true,true
19,20,0.0,0,0.0,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true
20,20,0.0,0,0.0,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true
21,20,0.0,0,0.0,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true
22,20,0.0,0,0.0,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
23,20,0.0,0,4.570906182150611E-4,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,true,true,true
24,20,0.0,0,2.2540290769750929E-4,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,false,true,true,false
25,20,0.0,0,4.892101973147795E-4,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false
26,20,0.015625,0,0.0,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true
27,20,0.0,0,8.236710384591016E-4,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true
28,20,0.0,0,5.203725867721289E-4,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,false
29,20,0.0,0,0.001294691763768549,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false
30,20,0.0,0,1.6035920461834508E-4,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,false,true,true,true
31,20,0.0,0,0.0,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true
32,20,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true
33,20,0.0,0,8.545290037197145E-4,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true
34,20,0.0,0,0.0012531328320802004,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false
35,20,0.0,0,0.0,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false
36,20,0.0,0,0.001309880239520958,true,false,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true
37,20,0.0,0,7.144315166360481E-4,true,false,true,false,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true
38,20,0.0,0,4.324558084220769E-4,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false
39,20,0.0,0,6.61638216223369E-4,true,true,true,true,true,true,false,true,true,false,true,false,true,true,false,true,true,true,true,true
40,20,0.0,0,0.0,false,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false
41,20,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,false
42,20,0.015625,0,0.0012140833670578712,true,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true,false,true,true,true
43,20,0.0,0,9.66183574879227E-4,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,true
44,20,0.0,0,5.729166666666667E-4,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true
45,20,0.0,0,5.667970299835629E-5,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false,false,true
46,20,0.0,0,0.0013249082755809212,true,true,true,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,false
47,20,0.0,0,0.0,false,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
48,20,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,true,true
49,20,0.0,0,6.625807520291535E-4,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false
50,20,0.0,0,0.0015797008441526385,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,true,false
51,20,0.0,0,5.841121495327102E-4,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true
52,20,0.0,0,0.0,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false
53,20,0.0,0,2.5134469411350726E-4,true,false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,false,true
54,20,0.0,0,0.0,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true
55,20,0.0,0,5.1813471502590674E-5,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true
56,20,0.0,0,2.5933609958506224E-4,true,false,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true
